id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.009999999776482582,-0.0,0.0
0.csv_Day7_0h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.009999999776482582,-0.0,0.0
0.csv_Day7_1h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.009999999776482582,-0.0,0.0
0.csv_Day7_1h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.009999999776482582,-0.0,0.0
0.csv_Day7_2h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,-0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_3h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_4h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,-0.0,-0.0,0.25999999046325684,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,-0.0,-0.0,2.5899999141693115,0.0,0.0,0.4399999976158142,0.009999999776482582,0.0,0.0
0.csv_Day7_8h00m,-0.0,-0.0,7.110000133514404,5.489999771118164,3.430000066757202,7.880000114440918,10.869999885559082,24.020000457763672,25.68000030517578
0.csv_Day7_8h30m,3.059999942779541,-0.0,10.520000457763672,10.420000076293945,9.130000114440918,12.520000457763672,18.770000457763672,31.799999237060547,36.83000183105469
0.csv_Day7_9h00m,7.28000020980835,0.05000000074505806,13.75,15.850000381469727,15.65999984741211,17.479999542236328,26.260000228881836,40.79999923706055,48.220001220703125
0.csv_Day7_9h30m,9.779999732971191,4.710000038146973,16.280000686645508,19.770000457763672,20.360000610351562,20.65999984741211,30.540000915527344,44.029998779296875,50.97999954223633
0.csv_Day7_10h00m,15.359999656677246,12.460000038146973,21.860000610351562,29.270000457763672,30.059999465942383,30.299999237060547,39.31999969482422,45.5099983215332,48.31999969482422
0.csv_Day7_10h30m,17.34000015258789,13.989999771118164,24.010000228881836,32.630001068115234,33.88999938964844,34.119998931884766,41.150001525878906,42.189998626708984,44.380001068115234
0.csv_Day7_11h00m,16.170000076293945,13.880000114440918,23.040000915527344,31.920000076293945,33.33000183105469,33.5,44.31999969482422,53.130001068115234,56.04999923706055
0.csv_Day7_11h30m,13.9399995803833,11.699999809265137,20.690000534057617,27.780000686645508,28.459999084472656,28.90999984741211,39.81999969482422,50.720001220703125,55.13999938964844
0.csv_Day7_12h00m,13.760000228881836,11.760000228881836,20.510000228881836,27.84000015258789,28.479999542236328,29.420000076293945,39.68000030517578,49.66999816894531,54.130001068115234
0.csv_Day7_12h30m,15.970000267028809,13.699999809265137,22.84000015258789,31.520000457763672,32.75,33.41999816894531,43.209999084472656,49.83000183105469,52.72999954223633
0.csv_Day7_13h00m,13.90999984741211,12.100000381469727,20.719999313354492,28.399999618530273,28.850000381469727,30.030000686645508,40.11000061035156,48.470001220703125,52.630001068115234
0.csv_Day7_13h30m,10.279999732971191,7.429999828338623,17.260000228881836,22.239999771118164,22.290000915527344,23.84000015258789,34.61000061035156,46.970001220703125,53.7400016784668
0.csv_Day7_14h00m,11.5600004196167,9.510000228881836,18.25,24.229999542236328,24.0,25.65999984741211,35.68000030517578,44.22999954223633,50.13999938964844
0.csv_Day7_14h30m,12.380000114440918,10.579999923706055,18.959999084472656,25.610000610351562,25.520000457763672,27.09000015258789,36.66999816894531,43.66999816894531,49.150001525878906
0.csv_Day7_15h00m,11.380000114440918,9.630000114440918,17.809999465942383,24.059999465942383,23.489999771118164,25.43000030517578,34.099998474121094,37.959999084472656,44.16999816894531
0.csv_Day7_15h30m,8.130000114440918,5.260000228881836,14.65999984741211,18.899999618530273,17.979999542236328,19.969999313354492,28.709999084472656,34.869998931884766,43.61000061035156
0.csv_Day7_16h00m,3.0199999809265137,-0.0,9.609999656677246,11.0,9.149999618530273,12.640000343322754,19.59000015258789,23.959999084472656,34.310001373291016
0.csv_Day7_16h30m,-0.0,-0.0,4.46999979019165,2.7200000286102295,0.0,5.440000057220459,0.8799999952316284,5.329999923706055,10.130000114440918
0.csv_Day7_17h00m,-0.0,-0.0,1.340000033378601,0.0,0.0,0.019999999552965164,0.009999999776482582,-0.0,0.0
0.csv_Day7_17h30m,-0.0,-0.0,0.7300000190734863,0.0,0.0,0.0,0.009999999776482582,0.0,0.0
0.csv_Day7_18h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.0
0.csv_Day7_18h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.0
0.csv_Day7_19h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_19h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_20h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_20h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_21h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_21h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_22h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_22h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_23h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_23h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.csv_Day8_0h00m,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_0h30m,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_1h00m,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_1h30m,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_2h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_2h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_3h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_3h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_4h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_4h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_5h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_5h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_6h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day8_6h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day8_7h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.019999999552965164
0.csv_Day8_7h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.289999961853027
0.csv_Day8_8h00m,0.7900000214576721,-0.0,2.0,1.75,7.210000038146973,18.25,11.050000190734863,27.700000762939453,27.59000015258789
0.csv_Day8_8h30m,1.7799999713897705,4.619999885559082,7.539999961853027,6.559999942779541,13.489999771118164,25.979999542236328,20.989999771118164,34.7400016784668,34.75
0.csv_Day8_9h00m,3.0199999809265137,9.960000038146973,13.619999885559082,12.220000267028809,20.09000015258789,32.849998474121094,30.56999969482422,41.36000061035156,42.310001373291016
0.csv_Day8_9h30m,5.079999923706055,14.529999732971191,18.059999465942383,16.600000381469727,23.579999923706055,36.54999923706055,35.209999084472656,45.060001373291016,44.900001525878906
0.csv_Day8_10h00m,9.960000038146973,22.030000686645508,28.170000076293945,26.860000610351562,31.219999313354492,44.04999923706055,42.869998931884766,49.439998626708984,45.439998626708984
0.csv_Day8_10h30m,11.760000228881836,24.030000686645508,31.350000381469727,29.969999313354492,33.61000061035156,43.93000030517578,44.77000045776367,48.27000045776367,42.650001525878906
0.csv_Day8_11h00m,10.739999771118164,22.829999923706055,30.770000457763672,29.420000076293945,35.630001068115234,49.09000015258789,49.27000045776367,55.09000015258789,53.40999984741211
0.csv_Day8_11h30m,8.510000228881836,20.399999618530273,26.479999542236328,25.270000457763672,31.729999542236328,45.939998626708984,44.900001525878906,51.90999984741211,50.959999084472656
0.csv_Day8_12h00m,8.079999923706055,20.0,26.399999618530273,25.139999389648438,31.649999618530273,44.790000915527344,44.560001373291016,50.41999816894531,49.93000030517578
0.csv_Day8_12h30m,10.149999618530273,22.350000381469727,30.170000076293945,28.979999542236328,34.70000076293945,46.75,47.220001220703125,52.06999969482422,50.2400016784668
0.csv_Day8_13h00m,7.940000057220459,20.020000457763672,26.81999969482422,25.5,31.850000381469727,44.119998931884766,44.09000015258789,49.40999984741211,49.0
0.csv_Day8_13h30m,4.599999904632568,16.280000686645508,20.809999465942383,20.010000228881836,27.200000762939453,41.34000015258789,39.849998474121094,46.470001220703125,47.709999084472656
0.csv_Day8_14h00m,5.360000133514404,17.350000381469727,22.729999542236328,21.479999542236328,27.860000610351562,40.36000061035156,39.43000030517578,45.150001525878906,44.720001220703125
0.csv_Day8_14h30m,6.260000228881836,18.31999969482422,24.139999389648438,22.850000381469727,29.0,40.810001373291016,40.25,45.290000915527344,44.63999938964844
0.csv_Day8_15h00m,4.960000038146973,16.8799991607666,22.270000457763672,20.84000015258789,26.559999465942383,36.95000076293945,36.459999084472656,41.099998474121094,39.02000045776367
0.csv_Day8_15h30m,2.700000047683716,13.539999961853027,17.389999389648438,16.18000030517578,22.489999771118164,34.08000183105469,32.189998626708984,37.599998474121094,36.93000030517578
0.csv_Day8_16h00m,1.25,7.75,9.539999961853027,9.180000305175781,15.199999809265137,25.25,21.729999542236328,26.139999389648438,27.469999313354492
0.csv_Day8_16h30m,-0.0,0.0,0.03999999910593033,0.699999988079071,4.170000076293945,7.570000171661377,5.78000020980835,0.0,17.059999465942383
0.csv_Day8_17h00m,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_17h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_18h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_18h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_19h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_19h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_20h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_20h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day8_21h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day8_21h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day8_22h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_22h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_23h00m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day8_23h30m,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1.csv_Day7_0h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_0h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_1h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_1h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_2h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_2h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_3h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_3h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_4h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_4h30m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_5h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_5h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_6h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_6h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_7h00m,-0.0,-0.0,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.0
1.csv_Day7_7h30m,-0.0,0.0,2.490000009536743,2.7200000286102295,0.0,3.7799999713897705,1.690000057220459,4.619999885559082,5.96999979019165
1.csv_Day7_8h00m,9.100000381469727,4.440000057220459,7.289999961853027,7.559999942779541,7.460000038146973,9.279999732971191,8.210000038146973,8.8100004196167,12.380000114440918
1.csv_Day7_8h30m,17.06999969482422,10.220000267028809,13.970000267028809,15.010000228881836,15.6899995803833,16.739999771118164,15.029999732971191,15.979999542236328,19.540000915527344
1.csv_Day7_9h00m,24.459999084472656,15.539999961853027,20.299999237060547,22.270000457763672,23.75,24.360000610351562,22.06999969482422,24.049999237060547,27.239999771118164
1.csv_Day7_9h30m,30.31999969482422,20.920000076293945,25.690000534057617,28.690000534057617,30.959999084472656,31.079999923706055,28.719999313354492,31.40999984741211,33.599998474121094
1.csv_Day7_10h00m,36.54999923706055,25.850000381469727,30.670000076293945,34.52000045776367,37.56999969482422,37.560001373291016,34.720001220703125,38.40999984741211,40.310001373291016
1.csv_Day7_10h30m,40.349998474121094,29.559999465942383,34.43000030517578,39.18000030517578,42.52000045776367,42.38999938964844,39.560001373291016,43.38999938964844,45.27000045776367
1.csv_Day7_11h00m,43.560001373291016,32.27000045776367,37.130001068115234,42.72999954223633,46.59000015258789,46.369998931884766,43.45000076293945,47.689998626708984,49.709999084472656
1.csv_Day7_11h30m,45.04999923706055,33.70000076293945,38.77000045776367,44.88999938964844,48.880001068115234,48.59000015258789,45.720001220703125,50.0099983215332,51.939998626708984
1.csv_Day7_12h00m,44.619998931884766,33.61000061035156,38.72999954223633,45.040000915527344,49.459999084472656,49.34000015258789,46.43000030517578,50.84000015258789,52.58000183105469
1.csv_Day7_12h30m,44.209999084472656,33.209999084472656,38.4900016784668,44.599998474121094,48.91999816894531,48.900001525878906,45.90999984741211,50.380001068115234,52.119998931884766
1.csv_Day7_13h00m,40.630001068115234,30.860000610351562,36.119998931884766,41.97999954223633,46.45000076293945,46.7400016784668,43.63999938964844,48.08000183105469,49.560001373291016
1.csv_Day7_13h30m,38.4900016784668,28.829999923706055,33.97999954223633,39.25,43.36000061035156,43.7599983215332,40.560001373291016,44.959999084472656,46.560001373291016
1.csv_Day7_14h00m,32.130001068115234,24.489999771118164,29.3799991607666,34.310001373291016,38.150001525878906,38.630001068115234,35.619998931884766,39.630001068115234,41.189998626708984
1.csv_Day7_14h30m,28.329999923706055,20.81999969482422,25.34000015258789,29.420000076293945,32.4900016784668,33.16999816894531,30.270000457763672,33.54999923706055,35.77000045776367
1.csv_Day7_15h00m,19.06999969482422,14.550000190734863,18.81999969482422,22.260000228881836,24.489999771118164,25.6200008392334,23.5,24.850000381469727,28.559999465942383
1.csv_Day7_15h30m,14.25,9.949999809265137,13.8100004196167,15.8100004196167,17.15999984741211,18.860000610351562,16.709999084472656,17.15999984741211,21.479999542236328
1.csv_Day7_16h00m,5.940000057220459,5.170000076293945,7.289999961853027,8.329999923706055,8.3100004196167,10.239999771118164,8.930000305175781,7.880000114440918,12.850000381469727
1.csv_Day7_16h30m,-0.0,0.8100000023841858,2.4600000381469727,3.2699999809265137,0.0,4.139999866485596,2.7100000381469727,2.880000114440918,5.429999828338623
1.csv_Day7_17h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_17h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_18h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_18h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_19h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_19h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_20h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_20h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.csv_Day7_21h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_21h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_22h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_22h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_23h00m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day7_23h30m,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.csv_Day8_0h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1.csv_Day8_0h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
1.csv_Day8_1h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
