id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.87,1.5,2.22,2.45,3.2,4.02,8.03,5.08,8.81
0.csv_Day7_8h00m,3.46,4.61,5.81,8.24,9.21,11.28,13.58,16.45,22.89
0.csv_Day7_8h30m,4.46,6.39,6.96,9.65,9.4,11.49,14.31,19.31,29.81
0.csv_Day7_9h00m,9.71,14.4,17.01,21.14,22.14,17.57,15.39,19.72,37.63
0.csv_Day7_9h30m,12.85,17.43,18.95,22.2,23.32,19.42,16.51,18.88,39.31
0.csv_Day7_10h00m,21.24,29.39,27.1,32.03,33.57,32.32,30.12,28.89,31.86
0.csv_Day7_10h30m,21.6,28.12,26.84,31.45,33.71,34.46,35.06,32.95,32.81
0.csv_Day7_11h00m,22.31,31.69,31.03,36.06,40.63,40.66,39.18,35.22,37.19
0.csv_Day7_11h30m,20.14,28.23,26.56,30.92,34.09,33.6,33.73,29.18,42.3
0.csv_Day7_12h00m,19.86,28.74,27.26,30.17,32.95,30.88,29.81,29.52,33.48
0.csv_Day7_12h30m,21.82,30.14,30.98,33.31,37.03,37.95,35.2,34.33,35.18
0.csv_Day7_13h00m,19.44,27.15,26.65,31.46,34.2,32.57,31.67,29.82,34.01
0.csv_Day7_13h30m,13.07,21.66,23.87,29.24,32.4,27.52,26.43,25.54,45.33
0.csv_Day7_14h00m,15.09,20.74,20.0,23.6,27.72,26.97,23.0,24.9,30.24
0.csv_Day7_14h30m,15.61,21.61,21.4,24.34,28.36,25.94,25.91,26.7,29.13
0.csv_Day7_15h00m,11.23,16.92,17.13,20.05,23.51,23.34,22.64,23.92,25.38
0.csv_Day7_15h30m,6.91,11.9,13.05,15.44,17.26,14.77,16.73,15.31,22.26
0.csv_Day7_16h00m,4.18,7.19,7.2,8.38,9.47,9.49,8.69,10.24,20.23
0.csv_Day7_16h30m,1.45,2.86,3.47,4.63,4.04,4.17,8.2,4.56,20.3
