id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_8h00m,0.0,0.0,0.0,0.0,0.0,1.1200000047683716,0.0,0.0,0.0
0.csv_Day7_8h30m,0.0,0.27000001072883606,8.4399995803833,0.0,4.340000152587891,11.930000305175781,6.789999961853027,0.0,0.0
0.csv_Day7_9h00m,0.0,9.09000015258789,16.65999984741211,0.0,11.649999618530273,20.219999313354492,17.68000030517578,0.0,0.0
0.csv_Day7_9h30m,0.0,14.479999542236328,22.93000030517578,0.0,16.860000610351562,25.190000534057617,22.229999542236328,0.0,0.0
0.csv_Day7_10h00m,0.0,24.989999771118164,35.52000045776367,0.0,28.079999923706055,34.91999816894531,31.530000686645508,0.0,0.0
0.csv_Day7_10h30m,0.0,26.65999984741211,37.2599983215332,0.0,31.030000686645508,35.540000915527344,32.91999816894531,0.0,0.0
0.csv_Day7_11h00m,0.0,26.290000915527344,37.869998931884766,0.0,31.18000030517578,38.38999938964844,34.9900016784668,0.0,0.0
0.csv_Day7_11h30m,0.0,24.030000686645508,34.66999816894531,0.0,27.229999542236328,36.290000915527344,32.58000183105469,0.0,0.0
0.csv_Day7_12h00m,0.0,23.81999969482422,34.720001220703125,0.0,27.690000534057617,35.90999984741211,32.130001068115234,0.0,0.0
0.csv_Day7_12h30m,0.0,25.690000534057617,37.02000045776367,0.0,31.0,36.81999969482422,33.81999969482422,0.0,0.0
0.csv_Day7_13h00m,0.0,23.760000228881836,35.150001525878906,0.0,28.549999237060547,35.119998931884766,31.729999542236328,0.0,0.0
0.csv_Day7_13h30m,0.0,17.969999313354492,28.040000915527344,0.0,21.110000610351562,30.829999923706055,27.780000686645508,0.0,0.0
0.csv_Day7_14h00m,0.0,20.43000030517578,31.110000610351562,0.0,23.850000381469727,31.389999389648438,27.549999237060547,0.0,0.0
